actual_data_bytes_a2b	actual_data_bytes_b2a	rexmt_data_pkts_a2b	rexmt_data_pkts_b2a	RTT_avg_a2b	RTT_avg_b2a	RTT_stdev_a2b	RTT_stdev_b2a
348	3872	0	0	29.3	11.8	2.1	22.6
2060	24840	0	0	36.5	0.4	20.9	0.4
1636	129539	0	0	31.2	1.7	4.1	5.4
778	15026	0	0	12.0	19.9	3.0	30.6
10892	226607	0	0	11.3	8.5	4.1	27.5
924	18064	0	0	43.5	7.5	25.8	17.0
1710	11976	6	0	6.3	17.8	3.7	29.3
1710	1500	6	0	5.0	28.1	0.8	29.2
1710	1500	6	0	5.3	25.9	4.4	25.5
1284	1125	6	0	8.3	32.3	4.6	30.1
1709	1499	6	0	5.4	27.0	2.8	25.0
1092	7623	6	0	4.5	0.2	1.4	0.0
730	5057	6	0	6.5	0.2	3.2	0.1
1092	6926	6	0	5.2	0.3	2.0	0.3
1092	6911	6	0	4.4	0.2	2.0	0.1
1453	10409	6	0	8.9	0.2	7.0	0.0
1092	6940	6	0	6.1	0.3	2.5	0.2
518	4858	0	1	11.6	0.2	4.7	0.1
1438	18310	0	0	135.9	0.3	2.5	0.3
1392	29137	0	0	140.1	0.2	1.8	0.2
702	2655	0	0	140.0	2.6	2.2	4.8
354	8103	0	0	136.3	0.1	3.8	0.0
352	2705	0	0	154.6	0.2	16.7	0.2
355	9447	0	0	144.5	0.2	1.8	0.0
0	0	0	0	140.7	0.1	0.0	0.0
356	13344	0	0	136.1	0.2	3.7	0.0
749	6967	0	1	57.3	0.4	44.3	0.4
3356	122504	0	0	30.4	0.2	1.9	0.1
455	6068	0	0	31.1	0.2	1.0	0.1
850	20075	0	0	29.9	0.2	1.5	0.0
2267	31578	0	0	29.6	0.4	1.0	0.4
3953	37102	0	0	31.1	13.9	2.8	33.4
4239	15855	0	0	31.4	15.4	5.6	25.6
8111	30873	0	0	30.6	15.1	3.8	22.8
3376	11508	0	0	32.4	2.8	5.7	4.4
3002	13460	0	0	32.7	13.4	5.9	34.3
474	1154	0	0	29.3	31.3	1.3	54.0
1892	3646	0	0	47.8	0.2	5.5	0.0
10892	211585	0	0	11.7	12.0	5.7	30.3
2724	223498	0	0	138.6	0.2	5.1	0.1
2343	160606	0	0	150.2	0.2	5.4	0.1
583	7997	0	0	11.2	0.2	1.7	0.0
1947	171691	0	0	136.9	0.3	3.8	0.3
1957	254629	0	0	144.7	0.2	2.4	0.1
2333	150428	0	0	136.4	0.3	2.3	0.3
2781	193714	0	0	140.5	0.2	1.8	0.2
794	720	0	0	179.5	0.2	0.4	0.0
0	0	1	0	0.0	0.0	0.0	0.0
0	0	1	0	0.0	0.0	0.0	0.0
3161	3310	0	0	47.0	0.1	3.7	0.0
1945	3550	1	0	58.5	0.2	16.3	0.1
1142	5844	0	0	193.7	0.3	1.2	0.3
2898	359599	0	0	138.4	1.4	6.6	7.8
1191	156012	0	1	139.5	1.6	1.0	5.7
790	203845	0	1	151.6	0.2	4.9	0.3
1211	171076	0	1	144.4	3.0	1.3	13.0
3455	840745	0	1	151.5	1.5	5.3	9.9
1187	152144	0	1	150.5	0.3	22.5	0.3
0	0	0	0	139.6	0.2	0.0	0.0
0	0	0	0	138.9	0.2	0.0	0.0
0	0	0	0	143.9	0.2	0.0	0.0
0	0	0	0	139.0	0.1	0.0	0.0
0	0	0	0	134.9	0.1	0.0	0.0
11670	260747	0	1	13.8	2.0	18.7	9.8
0	0	0	1	134.0	0.1	0.0	0.0
0	0	0	1	138.6	0.2	0.0	0.0
749	6764	0	0	18.3	0.3	17.5	0.3
117	133	0	0	44.3	50.9	0.0	0.0
912	301869	0	0	140.8	1.5	3.6	7.6
2086	4860	5	0	10.6	1.2	1.7	3.2
1347	455415	0	0	134.3	1.0	1.4	6.7
25285	555517	0	0	12.3	8.3	6.2	19.6
1374	446449	0	1	140.4	1.0	3.6	5.9
458	183443	0	0	153.1	0.3	11.9	0.2
815	720	0	0	133.5	0.4	1.9	0.5
3802	56140	0	0	41.1	0.2	19.8	0.1
763	691	0	0	42.3	0.2	24.8	0.0
764	692	0	0	43.1	0.2	21.9	0.0
767	696	0	0	35.8	0.1	7.0	0.0
3365	33557	0	0	37.7	12.6	19.6	22.9
2970	25001	0	0	30.0	10.7	2.0	20.7
676	3043	0	0	29.5	0.2	0.0	0.0
48986	40612339	0	0	19.1	0.4	16.0	2.4
150028	63011	6	1	13.2	57.7	21.4	22.2
788	940	0	0	40.1	0.1	20.9	0.0
789	941	0	0	40.7	0.1	20.8	0.0
790	940	0	0	41.4	0.2	21.7	0.0
791	940	0	0	41.8	0.2	21.3	0.0
794	941	0	0	41.1	0.1	20.2	0.0
3836	29883	0	0	65.1	4.7	52.7	11.2
6047	29986	0	1	60.2	24.9	73.1	25.3
724	692	0	1	85.6	18.1	0.0	31.0
749	6858	0	0	17.4	0.5	17.7	0.5
0	0	0	1	85.2	0.4	0.0	0.0
3741	36044	0	0	60.0	1.7	71.1	5.0
1437	689	5	1	81.5	0.7	111.9	1.0
8413	38179	0	1	33.3	2.7	16.3	5.9
3712	16630	0	1	37.3	0.2	25.0	0.1
6496	32203	0	0	34.6	5.3	21.5	7.8
0	0	0	1	66.5	0.4	0.0	0.0
